"rs","effect","Site","country","in_lab","Ntotal","B_or_W","design","or_stat_test","effect_type","effect_size","ncontrol","ntreatment","outcomes1_2","outcome_c1","outcome_t1","outcome_c2","outcome_t2"
"ML1","Sunk Costs","tamuon","USA",0,"225","Between","control vs. treatment","Independent samples t-test","d","0.311029654991583",94,131,"mean _ SD",7.96808510638298,8.45801526717557,1.82840272063024,1.27254766865367
"ML1","Sunk Costs","tilburg","NLD",1,"80","Between","control vs. treatment","Independent samples t-test","d","0.520156084364071",43,37,"mean _ SD",7.62790697674419,8.51351351351351,2.25750869653921,0.837377573858532
"ML1","Sunk Costs","ufl","USA",1,"127","Between","control vs. treatment","Independent samples t-test","d","0.14841251010978",66,61,"mean _ SD",7.74242424242424,8.04918032786885,2.13621236383541,1.99521285003377
"ML1","Sunk Costs","unipd","ITA",0,"144","Between","control vs. treatment","Independent samples t-test","d","0.445136042324225",63,81,"mean _ SD",7.28571428571429,8.24691358024691,2.74994763251354,1.32788237616826
"ML1","Sunk Costs","uva","USA",1,"81","Between","control vs. treatment","Independent samples t-test","d","0.433308536642657",35,46,"mean _ SD",7.42857142857143,8.15217391304348,1.77043886692329,1.563008371405
"ML1","Sunk Costs","vcu","USA",1,"108","Between","control vs. treatment","Independent samples t-test","d","0.32709525709459",54,54,"mean _ SD",7.88888888888889,8.40740740740741,1.63299316185545,1.53596529194422
"ML1","Sunk Costs","wisc","USA",1,"96","Between","control vs. treatment","Independent samples t-test","d","0.13453707001146",48,48,"mean _ SD",7.3125,7.60416666666667,2.45951257928468,1.83047004001046
"ML1","Sunk Costs","wku","USA",1,"102","Between","control vs. treatment","Independent samples t-test","d","0.046167248053162",58,44,"mean _ SD",7.63793103448276,7.72727272727273,1.77406536660431,2.08386533024275
"ML1","Sunk Costs","wl","USA",1,"89","Between","control vs. treatment","Independent samples t-test","d","0.254056436082212",41,48,"mean _ SD",7.65853658536585,8.10416666666667,1.98254578884778,1.49095975562984
"ML1","Sunk Costs","wpi","USA",1,"87","Between","control vs. treatment","Independent samples t-test","d","0.414062944685611",40,47,"mean _ SD",7.8,8.46808510638298,1.82854853465522,1.36495045028378
"ML1","Anchoring 1 - NYC","abington","USA",1,"68","Between","control vs. treatment","Independent samples t-test","d","1.10297228208469",31,37,"mean _ SD",1895.93548387097,3485.81081081081,1538.28920526417,1337.61027765186
"ML1","Anchoring 1 - NYC","brasilia","BRA",1,"73","Between","control vs. treatment","Independent samples t-test","d","1.20450238528145",43,30,"mean _ SD",1446.66279069767,3206.56666666667,1371.73247999664,1545.31641516827
"ML1","Anchoring 1 - NYC","charles","CZE",1,"67","Between","control vs. treatment","Independent samples t-test","d","0.948910870563738",35,32,"mean _ SD",1551.57142857143,2964.734375,1433.97005538745,1542.54493835504
"ML1","Anchoring 1 - NYC","conncoll","USA",1,"82","Between","control vs. treatment","Independent samples t-test","d","1.99492782380842",33,49,"mean _ SD",1606.95454545455,3867.21428571429,1006.94818451935,1246.37400335934
"ML1","Anchoring 1 - NYC","csun","USA",0,"87","Between","control vs. treatment","Independent samples t-test","d","1.47684357282507",37,50,"mean _ SD",1823.45945945946,3590.46,1104.72956958793,1281.66235660042
"ML1","Anchoring 1 - NYC","help","MYS",1,"73","Between","control vs. treatment","Independent samples t-test","d","1.90416285896955",45,28,"mean _ SD",1119.84444444444,3667.17857142857,1262.30584385653,1409.20091760915
"ML1","Anchoring 1 - NYC","ithaca","USA",1,"71","Between","control vs. treatment","Independent samples t-test","d","1.15742137505764",37,34,"mean _ SD",1824.82432432432,3269.35294117647,1154.1299646163,1335.39503024733
"ML1","Anchoring 1 - NYC","jmu","USA",0,"148","Between","control vs. treatment","Independent samples t-test","d","1.02263723292412",51,97,"mean _ SD",2132.82352941176,3444.05154639175,1271.98208644434,1292.34208917
"ML1","Anchoring 1 - NYC","ku","TUR",0,"66","Between","control vs. treatment","Independent samples t-test","d","1.12540785229164",33,33,"mean _ SD",1615.84848484848,3307.07575757576,1315.89936263217,1668.84215626252
"ML1","Anchoring 1 - NYC","laurier","CAN",1,"67","Between","control vs. treatment","Independent samples t-test","d","1.94876024054014",30,37,"mean _ SD",1131.56666666667,3646.01351351351,1245.19780130219,1333.83982300103
"ML1","Anchoring 1 - NYC","lse","GBR",1,"233","Between","control vs. treatment","Independent samples t-test","d","1.37679053282643",102,131,"mean _ SD",1607.54901960784,3479.19847328244,1244.52366033661,1465.3522281735
"ML1","Anchoring 1 - NYC","luc","USA",1,"125","Between","control vs. treatment","Independent samples t-test","d","1.30708979197314",62,63,"mean _ SD",1689.87096774194,3601.31746031746,1478.55986073147,1445.99515989237
"ML1","Anchoring 1 - NYC","mcdaniel","USA",0,"83","Between","control vs. treatment","Independent samples t-test","d","1.29269336329722",38,45,"mean _ SD",2032.17105263158,3564.08888888889,1217.39646474871,1151.81390191578
"ML1","Anchoring 1 - NYC","msvu","CAN",1,"45","Between","control vs. treatment","Independent samples t-test","d","1.60912907533527",26,19,"mean _ SD",1524.53846153846,3762.60526315789,1591.24280311382,1156.24697692034
"ML1","Anchoring 1 - NYC","mturk","USA",0,"926","Between","control vs. treatment","Independent samples t-test","d","1.07421111601272",454,472,"mean _ SD",2006.26101321586,3366.6281779661,1201.18082889649,1328.3965882761
"ML1","Anchoring 1 - NYC","osu","USA",1,"92","Between","control vs. treatment","Independent samples t-test","d","1.54982740608923",49,43,"mean _ SD",1691.58163265306,3879.20930232558,1395.87067865566,1427.01722814941
"ML1","Anchoring 1 - NYC","oxy","USA",1,"113","Between","control vs. treatment","Independent samples t-test","d","0.984015017215033",62,51,"mean _ SD",1986.31451612903,3241.07843137255,1215.34925909761,1332.26368776061
"ML1","Anchoring 1 - NYC","pi","USA",0,"1196","Between","control vs. treatment","Independent samples t-test","d","1.03607169531965",578,618,"mean _ SD",2037.45934256055,3320.65048543689,1201.54269611909,1274.41665843426
"ML1","Anchoring 1 - NYC","psu","USA",1,"80","Between","control vs. treatment","Independent samples t-test","d","1.76859084866549",41,39,"mean _ SD",1454.0243902439,3629.34615384615,986.930069402206,1432.35606952986
"ML1","Anchoring 1 - NYC","qccuny","USA",1,"90","Between","control vs. treatment","Independent samples t-test","d","1.00507346786805",43,47,"mean _ SD",2062.03488372093,3556.41489361702,1532.02969321649,1440.2260666417
"ML1","Anchoring 1 - NYC","qccuny2","USA",1,"75","Between","control vs. treatment","Independent samples t-test","d","1.82159166495849",33,42,"mean _ SD",1676.57575757576,3745.75,1113.66813055728,1157.7354749156
"ML1","Anchoring 1 - NYC","sdsu","USA",1,"142","Between","control vs. treatment","Independent samples t-test","d","0.926667791913267",66,76,"mean _ SD",2359.18181818182,3599.05263157895,1307.34075258008,1367.94970808859
"ML1","Anchoring 1 - NYC","swps","POL",1,"50","Between","control vs. treatment","Independent samples t-test","d","1.43641947471884",31,19,"mean _ SD",1445.17741935484,3687,1622.28210939809,1496.58995720271
"ML1","Anchoring 1 - NYC","swpson","POL",0,"110","Between","control vs. treatment","Independent samples t-test","d","0.817272570921952",60,50,"mean _ SD",1569.36666666667,2929.97,1501.48823591757,1813.48173246371
"ML1","Anchoring 1 - NYC","tamu","USA",1,"163","Between","control vs. treatment","Independent samples t-test","d","1.28492265143266",82,81,"mean _ SD",1983.62195121951,3762.45061728395,1486.19395316553,1274.47071024832
"ML1","Anchoring 1 - NYC","tamuc","USA",1,"80","Between","control vs. treatment","Independent samples t-test","d","1.25237475581388",41,39,"mean _ SD",1856.20731707317,3574.23076923077,1275.55406576716,1461.7459992751
"ML1","Anchoring 1 - NYC","tamuon","USA",0,"186","Between","control vs. treatment","Independent samples t-test","d","1.14943800829758",85,101,"mean _ SD",1842.29411764706,3367.27227722772,1362.75306364175,1289.67300220783
"ML1","Anchoring 1 - NYC","tilburg","NLD",1,"67","Between","control vs. treatment","Independent samples t-test","d","0.974888563464426",42,25,"mean _ SD",1624.296875,3054.42,1281.94228179778,1631.12564455757
"ML1","Anchoring 1 - NYC","ufl","USA",1,"115","Between","control vs. treatment","Independent samples t-test","d","1.41123765982039",50,65,"mean _ SD",1896.36,3663.51538461538,1212.93142982998,1290.27894564397
"ML1","Anchoring 1 - NYC","unipd","ITA",0,"99","Between","control vs. treatment","Independent samples t-test","d","1.14220227953308",52,47,"mean _ SD",1508.25961538462,3129.8085106383,1424.18671490972,1415.13638363015
"ML1","Anchoring 1 - NYC","uva","USA",1,"77","Between","control vs. treatment","Independent samples t-test","d","0.78669957118898",40,37,"mean _ SD",2189.875,3362.48648648649,1385.315301285,1588.82130702154
"ML1","Anchoring 1 - NYC","vcu","USA",1,"91","Between","control vs. treatment","Independent samples t-test","d","1.27505735723838",40,51,"mean _ SD",1975.4875,3652.73529411765,1199.46991223313,1421.96355914257
"ML1","Anchoring 1 - NYC","wisc","USA",1,"88","Between","control vs. treatment","Independent samples t-test","d","1.14967715143876",36,52,"mean _ SD",2156.05555555556,3747.03846153846,1496.1982526093,1261.53990419021
"ML1","Anchoring 1 - NYC","wku","USA",1,"84","Between","control vs. treatment","Independent samples t-test","d","1.18034403357476",47,37,"mean _ SD",1833.41489361702,3561,1434.98912024034,1491.71803449729
"ML1","Anchoring 1 - NYC","wl","USA",1,"81","Between","control vs. treatment","Independent samples t-test","d","0.91784705307744",33,48,"mean _ SD",2178.69696969697,3323.125,1283.03106657751,1209.61060421517
"ML1","Anchoring 1 - NYC","wpi","USA",1,"79","Between","control vs. treatment","Independent samples t-test","d","1.17837853196433",42,37,"mean _ SD",1842.85714285714,3301.86486486487,1224.77698460614,1251.37732812383
"ML1","Anchoring 2 - Chicago","abington","USA",1,"75","Between","control vs. treatment","Independent samples t-test","d","2.86715755786545",39,36,"mean _ SD",808.602564102564,3619.91666666667,565.924711138737,1265.93055271042
"ML1","Anchoring 2 - Chicago","brasilia","BRA",1,"58","Between","control vs. treatment","Independent samples t-test","d","2.34425494008001",30,28,"mean _ SD",1561.9,4072.21428571429,1070.79386760317,1070.87958333819
"ML1","Anchoring 2 - Chicago","charles","CZE",1,"65","Between","control vs. treatment","Independent samples t-test","d","1.56900082776235",27,38,"mean _ SD",2600.5,4084.65789473684,1017.36412814231,868.631302256782
"ML1","Anchoring 2 - Chicago","conncoll","USA",1,"78","Between","control vs. treatment","Independent samples t-test","d","2.04668542946461",39,39,"mean _ SD",1380.21794871795,3449.41025641026,882.639722015666,1124.80040844561
"ML1","Anchoring 2 - Chicago","csun","USA",0,"86","Between","control vs. treatment","Independent samples t-test","d","2.50050995467764",43,43,"mean _ SD",967.127906976744,3594.11627906977,900.691923791709,1181.60701627875
"ML1","Anchoring 2 - Chicago","help","MYS",1,"82","Between","control vs. treatment","Independent samples t-test","d","2.7357394211626",45,37,"mean _ SD",979.377777777778,3828.18918918919,823.790395309414,1220.70128609741
"ML1","Anchoring 2 - Chicago","ithaca","USA",1,"80","Between","control vs. treatment","Independent samples t-test","d","2.7957844949482",45,35,"mean _ SD",1097.4,3653.61428571429,701.484745185006,1086.20690590558
"ML1","Anchoring 2 - Chicago","jmu","USA",0,"154","Between","control vs. treatment","Independent samples t-test","d","2.13599721334055",79,75,"mean _ SD",1255.94936708861,3434.56,855.155689809579,1161.59600410674
"ML1","Anchoring 2 - Chicago","ku","TUR",0,"74","Between","control vs. treatment","Independent samples t-test","d","1.97877459276175",34,40,"mean _ SD",1840.61764705882,4004.35,1254.65883965386,903.984642199929
"ML1","Anchoring 2 - Chicago","laurier","CAN",1,"98","Between","control vs. treatment","Independent samples t-test","d","1.57687048006301",48,50,"mean _ SD",1914.16666666667,3764.93,1207.63526326371,1138.74141951112
"ML1","Anchoring 2 - Chicago","lse","GBR",1,"223","Between","control vs. treatment","Independent samples t-test","d","1.95314576780924",89,134,"mean _ SD",1649.42696629213,3819.35447761194,1087.48118466106,1134.01366805727
"ML1","Anchoring 2 - Chicago","luc","USA",1,"122","Between","control vs. treatment","Independent samples t-test","d","1.69760515833555",61,61,"mean _ SD",1546.26229508197,3315.89344262295,945.70479276286,1130.90879795394
"ML1","Anchoring 2 - Chicago","mcdaniel","USA",0,"84","Between","control vs. treatment","Independent samples t-test","d","1.76678464654554",45,39,"mean _ SD",1254.77777777778,3350.10256410256,943.871949108104,1386.39031101163
"ML1","Anchoring 2 - Chicago","msvu","CAN",1,"74","Between","control vs. treatment","Independent samples t-test","d","1.83909944823101",39,35,"mean _ SD",1152.12820512821,3076.08571428571,782.572560264077,1255.54871110857
"ML1","Anchoring 2 - Chicago","mturk","USA",0,"872","Between","control vs. treatment","Independent samples t-test","d","1.67451539434066",433,439,"mean _ SD",1829.94226327945,3708.72892938497,1191.10306559192,1048.32673289869
"ML1","Anchoring 2 - Chicago","osu","USA",1,"94","Between","control vs. treatment","Independent samples t-test","d","2.460113343146",52,42,"mean _ SD",1331.77884615385,3896.42857142857,965.515362807993,1114.16396290534
"ML1","Anchoring 2 - Chicago","oxy","USA",1,"109","Between","control vs. treatment","Independent samples t-test","d","1.49206514241577",50,59,"mean _ SD",1712.3,3361.9406779661,1000.57494696289,1201.49589264421
"ML1","Anchoring 2 - Chicago","pi","USA",0,"1113","Between","control vs. treatment","Independent samples t-test","d","1.35185688386102",517,596,"mean _ SD",1970.42843326886,3566.05704697987,1233.49589648739,1124.64019983865
"ML1","Anchoring 2 - Chicago","psu","USA",1,"85","Between","control vs. treatment","Independent samples t-test","d","2.26302896364185",45,40,"mean _ SD",1160.27777777778,3528.1125,831.45468468027,1224.01853664267
"ML1","Anchoring 2 - Chicago","qccuny","USA",1,"84","Between","control vs. treatment","Independent samples t-test","d","1.99411693681657",35,49,"mean _ SD",1396.35714285714,3674.81632653061,1183.63556078563,1100.01510261355
"ML1","Anchoring 2 - Chicago","qccuny2","USA",1,"68","Between","control vs. treatment","Independent samples t-test","d","2.11455274562608",37,31,"mean _ SD",940.189189189189,3245.58064516129,955.483984046184,1210.09964532385
"ML1","Anchoring 2 - Chicago","sdsu","USA",1,"150","Between","control vs. treatment","Independent samples t-test","d","2.04978970307907",75,75,"mean _ SD",1324.36,3565.38666666667,872.409666043084,1276.51603978165
"ML1","Anchoring 2 - Chicago","swps","POL",1,"62","Between","control vs. treatment","Independent samples t-test","d","3.28528571763108",24,38,"mean _ SD",640.104166666667,3860.75,768.891367053702,1153.63686819061
"ML1","Anchoring 2 - Chicago","swpson","POL",0,"126","Between","control vs. treatment","Independent samples t-test","d","1.80039395797078",56,70,"mean _ SD",1843.71428571429,3971.32142857143,1320.91973762479,1023.82375080996
"ML1","Anchoring 2 - Chicago","tamu","USA",1,"161","Between","control vs. treatment","Independent samples t-test","d","2.15150082397781",88,73,"mean _ SD",1644.55681818182,3977.43835616438,1112.10518354305,1055.77155483957
"ML1","Anchoring 2 - Chicago","tamuc","USA",1,"72","Between","control vs. treatment","Independent samples t-test","d","2.47335201637316",35,37,"mean _ SD",1255.11428571429,3964.58108108108,1102.2219476352,1088.66304674787
"ML1","Anchoring 2 - Chicago","tamuon","USA",0,"198","Between","control vs. treatment","Independent samples t-test","d","1.60924712040624",95,103,"mean _ SD",1721.88947368421,3636.54368932039,1294.46645580608,1074.95201923656
"ML1","Anchoring 2 - Chicago","tilburg","NLD",1,"43","Between","control vs. treatment","Independent samples t-test","d","1.48850117211317",21,22,"mean _ SD",1808.04761904762,3328.54545454545,884.147766280641,1142.44932063372
"ML1","Anchoring 2 - Chicago","ufl","USA",1,"118","Between","control vs. treatment","Independent samples t-test","d","2.55047871057147",66,52,"mean _ SD",1134.33333333333,3570.125,775.973400284261,1105.46001371002
"ML1","Anchoring 2 - Chicago","unipd","ITA",0,"77","Between","control vs. treatment","Independent samples t-test","d","1.38645529880658",40,37,"mean _ SD",1777.3625,3378.21621621622,1247.5479282068,1053.56591274941
"ML1","Anchoring 2 - Chicago","uva","USA",1,"75","Between","control vs. treatment","Independent samples t-test","d","2.1514373104631",33,42,"mean _ SD",1407.80303030303,3570.9880952381,878.184543705382,1118.34396563158
"ML1","Anchoring 2 - Chicago","vcu","USA",1,"100","Between","control vs. treatment","Independent samples t-test","d","2.0153103447827",50,50,"mean _ SD",1181.24,3465.4,819.970054455699,1377.26415440917
"ML1","Anchoring 2 - Chicago","wisc","USA",1,"88","Between","control vs. treatment","Independent samples t-test","d","1.95995258194243",50,38,"mean _ SD",1611.05,3627.89473684211,952.565254339833,1100.18809913808
"ML1","Anchoring 2 - Chicago","wku","USA",1,"86","Between","control vs. treatment","Independent samples t-test","d","2.51027524613421",48,38,"mean _ SD",1054.01041666667,3596.81578947368,708.979116890658,1244.79702253481
"ML1","Anchoring 2 - Chicago","wl","USA",1,"73","Between","control vs. treatment","Independent samples t-test","d","1.35409191136436",31,42,"mean _ SD",1925.96774193548,3415.29761904762,1160.21873609738,1036.01936993101
"ML1","Anchoring 2 - Chicago","wpi","USA",1,"77","Between","control vs. treatment","Independent samples t-test","d","1.69100710203237",42,35,"mean _ SD",1631.20238095238,3595.32857142857,1131.0445585426,1191.20175319159
"ML1","Anchoring 3 - Everest","abington","USA",1,"73","Between","control vs. treatment","Independent samples t-test","d","2.5292383891175",35,38,"mean _ SD",1280.42857142857,4081.56578947368,1081.19561504068,1133.19836274968
"ML1","Anchoring 3 - Everest","brasilia","BRA",1,"76","Between","control vs. treatment","Independent samples t-test","d","2.48631274852068",44,32,"mean _ SD",1287.39772727273,3913.1875,1005.40401794355,1104.46750963472
"ML1","Anchoring 3 - Everest","charles","CZE",1,"83","Between","control vs. treatment","Independent samples t-test","d","0.785764163461964",43,40,"mean _ SD",2697.39534883721,3218,657.697042339147,667.359089131297
"ML1","Anchoring 3 - Everest","conncoll","USA",1,"84","Between","control vs. treatment","Independent samples t-test","d","2.0266636895997",37,47,"mean _ SD",1920.91891891892,4206.1170212766,1335.5465772147,871.279407917173
"ML1","Anchoring 3 - Everest","csun","USA",0,"88","Between","control vs. treatment","Independent samples t-test","d","1.98546114105827",29,59,"mean _ SD",1591.01724137931,3962.3813559322,1315.6327136371,1059.30317995378
"ML1","Anchoring 3 - Everest","help","MYS",1,"65","Between","control vs. treatment","Independent samples t-test","d","2.6272528042487",36,29,"mean _ SD",1339.23611111111,4318.29310344828,1154.33990714614,1113.09647346331
"ML1","Anchoring 3 - Everest","ithaca","USA",1,"83","Between","control vs. treatment","Independent samples t-test","d","3.62492916700316",40,43,"mean _ SD",1148.8125,4260.88372093023,837.776274274451,878.772600720062
"ML1","Anchoring 3 - Everest","jmu","USA",0,"161","Between","control vs. treatment","Independent samples t-test","d","2.53794141116233",91,70,"mean _ SD",1443.98351648352,4066.09285714286,908.683606624163,1144.18058868059
"ML1","Anchoring 3 - Everest","ku","TUR",0,"75","Between","control vs. treatment","Independent samples t-test","d","1.76894716848797",36,39,"mean _ SD",1869.01388888889,3551.70512820513,964.998005076481,937.277697980115
"ML1","Anchoring 3 - Everest","laurier","CAN",1,"85","Between","control vs. treatment","Independent samples t-test","d","2.89759047169412",48,37,"mean _ SD",989.364583333333,3979.66216216216,842.017010615451,1192.07082921354
"ML1","Anchoring 3 - Everest","lse","GBR",1,"260","Between","control vs. treatment","Independent samples t-test","d","2.74054449653301",127,133,"mean _ SD",1219.74409448819,3954.78195488722,850.738726296856,1126.15025935334
"ML1","Anchoring 3 - Everest","luc","USA",1,"136","Between","control vs. treatment","Independent samples t-test","d","2.53066959758149",69,67,"mean _ SD",1352.31884057971,4163.71641791045,993.437181511947,1217.13388877774
"ML1","Anchoring 3 - Everest","mcdaniel","USA",0,"88","Between","control vs. treatment","Independent samples t-test","d","2.22540558233098",40,48,"mean _ SD",1707.35,4202.19791666667,1217.91280686599,1015.04159195563
"ML1","Anchoring 3 - Everest","msvu","CAN",1,"49","Between","control vs. treatment","Independent samples t-test","d","4.1420763748213",31,18,"mean _ SD",928.822580645161,4182.47222222222,489.174552152009,997.37939669301
"ML1","Anchoring 3 - Everest","mturk","USA",0,"941","Between","control vs. treatment","Independent samples t-test","d","2.33343622641657",489,452,"mean _ SD",1619.35173824131,4061.0453539823,1053.62382808508,1039.11382627089
"ML1","Anchoring 3 - Everest","osu","USA",1,"93","Between","control vs. treatment","Independent samples t-test","d","2.55277738788236",46,47,"mean _ SD",1244.21739130435,4195.65957446809,1150.97886191698,1161.33602366068
"ML1","Anchoring 3 - Everest","oxy","USA",1,"107","Between","control vs. treatment","Independent samples t-test","d","2.11557461899142",45,62,"mean _ SD",1682.18888888889,3980.52419354839,1089.10433013518,1083.66526434263
"ML1","Anchoring 3 - Everest","pi","USA",0,"1204","Between","control vs. treatment","Independent samples t-test","d","1.96694843419162",594,610,"mean _ SD",1798.72811447811,3992.46557377049,1117.8669369696,1112.72700957048
"ML1","Anchoring 3 - Everest","psu","USA",1,"87","Between","control vs. treatment","Independent samples t-test","d","3.60003401995539",44,43,"mean _ SD",1268.07954545455,4533.56976744186,870.674070217223,942.064782560319
"ML1","Anchoring 3 - Everest","qccuny","USA",1,"93","Between","control vs. treatment","Independent samples t-test","d","3.24106709658002",47,46,"mean _ SD",925.787234042553,4118.67391304348,747.706033439736,1175.54891300188
"ML1","Anchoring 3 - Everest","qccuny2","USA",1,"77","Between","control vs. treatment","Independent samples t-test","d","2.69024250166197",39,38,"mean _ SD",1233.05128205128,4044.81578947368,877.72064848369,1189.27412804443
"ML1","Anchoring 3 - Everest","sdsu","USA",1,"149","Between","control vs. treatment","Independent samples t-test","d","2.85622810898187",72,77,"mean _ SD",1540.74305555556,4323.73376623377,1060.43069244162,879.907099553606
"ML1","Anchoring 3 - Everest","swps","POL",1,"54","Between","control vs. treatment","Independent samples t-test","d","1.95232420041306",36,18,"mean _ SD",1817.5,3943.38888888889,1097.86412117868,1079.86463688137
"ML1","Anchoring 3 - Everest","swpson","POL",0,"138","Between","control vs. treatment","Independent samples t-test","d","0.665941440277769",73,65,"mean _ SD",2740.76712328767,3197.38461538462,779.460087720054,576.831463479252
"ML1","Anchoring 3 - Everest","tamu","USA",1,"176","Between","control vs. treatment","Independent samples t-test","d","2.4101988044731",76,100,"mean _ SD",1783.90789473684,4419.315,1147.38340209518,1036.69290051333
"ML1","Anchoring 3 - Everest","tamuc","USA",1,"79","Between","control vs. treatment","Independent samples t-test","d","3.19980005221753",43,36,"mean _ SD",1258.02325581395,4589.54166666667,1136.71795174847,935.90575208496
"ML1","Anchoring 3 - Everest","tamuon","USA",0,"203","Between","control vs. treatment","Independent samples t-test","d","1.76057052946379",102,101,"mean _ SD",2003.3137254902,4131.5297029703,1395.44105473341,987.544626388555
